new_ratio,ewc_lambda,t1,t2,t3,t4,t5,t6,t7,t8,t9
0.0,0.1,0.345011,0.238835,0.234804,0.212279,0.206758,0.212377,0.208199,0.206953,0.209934
0.0,1.0,0.342373,0.250855,0.256670,0.232190,0.225520,0.222980,0.220317,0.223370,0.218606
0.0,10.0,0.345085,0.278242,0.281320,0.257671,0.258575,0.255766,0.255448,0.255570,0.258673
0.0,100.0,0.348041,0.314424,0.314351,0.289847,0.289065,0.289749,0.288723,0.289431,0.290726
0.0,1000.0,0.346208,0.339930,0.343814,0.325125,0.321509,0.320409,0.317282,0.319945,0.316843
0.0,10000.0,0.340907,0.356909,0.360867,0.347381,0.348603,0.346379,0.342299,0.342739,0.344058
0.0,100000.0,0.344987,0.370395,0.369711,0.360574,0.361038,0.358106,0.357740,0.355345,0.358497
0.0,1000000.0,0.344767,0.372618,0.373375,0.365142,0.363652,0.363359,0.363188,0.363725,0.364336
0.0,10000000.0,0.339490,0.371152,0.368807,0.364409,0.364434,0.364507,0.364922,0.364531,0.362259
0.0,100000000.0,0.341860,0.376845,0.377064,0.369637,0.370810,0.368929,0.366657,0.368489,0.368514
0.0,1000000000.0,0.339905,0.370566,0.374230,0.367219,0.368758,0.364189,0.366608,0.367634,0.369173
0.0,10000000000.0,0.345109,0.375745,0.378017,0.370615,0.373620,0.371592,0.370126,0.371543,0.369222
0.1,0.1,0.343252,0.252468,0.261531,0.243135,0.249658,0.247606,0.252541,0.254275,0.253811
0.1,1.0,0.344523,0.275090,0.286133,0.264365,0.267419,0.270155,0.272550,0.269422,0.278437
0.1,10.0,0.337169,0.283299,0.297689,0.277851,0.282542,0.284447,0.288405,0.293120,0.298666
0.1,100.0,0.345109,0.318015,0.324734,0.309635,0.310442,0.310930,0.312787,0.316623,0.318773
0.1,1000.0,0.346477,0.344376,0.345060,0.330768,0.332332,0.334921,0.335996,0.337584,0.336143
0.1,10000.0,0.346966,0.357764,0.361111,0.346844,0.346917,0.344669,0.349018,0.349726,0.346990
